tf,rho,pvalue,ci_low,ci_high,n_donors,qvalue,significant
KLF10,0.8041958041958043,0.001614768986069931,,,12,0.07128776532538714,False
FOSL1,0.7902097902097903,0.0022231354099909208,,,12,0.07128776532538714,False
JUNB,0.7762237762237763,0.0029928636801859797,,,12,0.07128776532538714,False
IRF1,0.7762237762237763,0.0029928636801859797,,,12,0.07128776532538714,False
ETV5,0.7740817475138726,0.003126656373920488,,,12,0.07128776532538714,False
FOSB,0.7482517482517484,0.005124081698753058,,,12,0.0973575522763081,False
MYC,0.7272727272727274,0.007355028857805126,,,12,0.10617746448077958,False
EGR2,0.7202797202797203,0.008239768712338441,,,12,0.10617746448077958,False
EGR1,0.7062937062937064,0.010245193941127854,,,12,0.10617746448077958,False
ATF3,0.7062937062937064,0.010245193941127854,,,12,0.10617746448077958,False
ZFP36,0.7062937062937064,0.010245193941127854,,,12,0.10617746448077958,False
IRF6,0.6503496503496504,0.022034190932365288,,,12,0.19545455692009683,False
EGR3,0.6433566433566434,0.024003191200713644,,,12,0.19545455692009683,False
NFKBIA,0.6433566433566434,0.024003191200713644,,,12,0.19545455692009683,False
KLF5,0.6363636363636365,0.026096891052703127,,,12,0.19833637200054377,False
STAT3,0.5734265734265735,0.05126558978649144,,,12,0.3339600097148354,False
FOSL2,0.5664335664335665,0.054842119775407844,,,12,0.3339600097148354,False
FOS,0.5664335664335665,0.054842119775407844,,,12,0.3339600097148354,False
KLF4,0.5594405594405596,0.05858947538856762,,,12,0.3339600097148354,False
ATF4,0.5594405594405596,0.05858947538856762,,,12,0.3339600097148354,False
ETV4,0.5486526200010714,0.06471429740439955,,,12,0.35130618590959756,False
MYCN,0.5253948512537597,0.07939623293714611,,,12,0.4114168434015753,False
ELK1,0.5174825174825175,0.08486877113393493,,,12,0.42065390909863404,False
MLXIPL,0.5078816895453011,0.09184579185725565,,,12,0.43626751132196434,False
ETS2,0.49650349650349657,0.10060263183225483,,,12,0.44110384726450197,False
MLXIP,0.4755244755244756,0.11817595701303213,,,12,0.4811449678387737,False
IRF5,0.45228382320681093,0.13987464746354122,,,12,0.5498520624428862,False
ETV1,0.44055944055944063,0.15173503571673022,,,12,0.5765931357235748,False
KLF16,0.43356643356643365,0.1591057694121953,,,12,0.5850986359029118,False
MAFG,0.4265734265734266,0.16669998762494495,,,12,0.5938687059138664,False
MAFF,0.39860139860139865,0.19933549461780897,,,12,0.6886135268615219,False
IRF8,0.3802911202101593,0.22267342233449083,,,12,0.7259674162281516,False
YY1,0.3706293706293707,0.2356210035126457,,,12,0.7259674162281516,False
MAFK,0.3706293706293707,0.2356210035126457,,,12,0.7259674162281516,False
PPARD,0.3706293706293707,0.2356210035126457,,,12,0.7259674162281516,False
NFKB1,0.35664335664335667,0.25513775175895725,,,12,0.7478660441671333,False
REL,0.34965034965034975,0.2652387868927897,,,12,0.7478660441671333,False
CREM,0.34965034965034975,0.2652387868927897,,,12,0.7478660441671333,False
EGR4,0.3471067595925146,0.2689693667618637,,,12,0.7478660441671333,False
MAFA,0.3222421754356393,0.3070141789004013,,,12,0.8333241998725178,False
STAT5A,0.31468531468531474,0.31913878550330455,,,12,0.8460888731948074,False
FOXO1,0.30069930069930073,0.34225952894002465,,,12,0.8462123204216186,False
STAT2,0.2937062937062937,0.35414764123292175,,,12,0.8462123204216186,False
CEBPD,0.2867132867132868,0.36625146058358227,,,12,0.8462123204216186,False
RELA,0.2867132867132868,0.36625146058358227,,,12,0.8462123204216186,False
ATF5,0.2797202797202798,0.37856866966230307,,,12,0.8462123204216186,False
NFKB2,0.25874125874125875,0.41677476889913834,,,12,0.8964589368773919,False
IRF3,0.2447552447552448,0.4432619364501832,,,12,0.9136017052798464,False
RELB,0.2377622377622378,0.4568008526399232,,,12,0.9136017052798464,False
CEBPZ,0.23076923076923078,0.470531995381542,,,12,0.9166997153186692,False
CEBPA,0.2183152727132396,0.49545035953231165,,,12,0.9166997153186692,False
JUN,0.21678321678321683,0.49855598552418856,,,12,0.9166997153186692,False
NRF1,0.21678321678321683,0.49855598552418856,,,12,0.9166997153186692,False
KLF7,0.20979020979020982,0.5128409431818263,,,12,0.9279978971861618,False
PPARA,0.1958041958041958,0.5419358857313175,,,12,0.9310563027450386,False
KLF11,0.18881118881118883,0.5567370561768314,,,12,0.9310563027450386,False
ATF2,0.18181818181818185,0.5717012385276553,,,12,0.9310563027450386,False
ATF6,0.18181818181818185,0.5717012385276553,,,12,0.9310563027450386,False
ATF2,0.18181818181818185,0.5717012385276553,,,12,0.9310563027450386,False
MAFB,0.17482517482517487,0.5868236643627043,,,12,0.9422239117936377,False
ZFP36L2,0.16783216783216784,0.602099427786538,,,12,0.9438875155151188,False
JUND,0.14685314685314685,0.6487957097846664,,,12,0.9547458108085504,False
ELK4,0.14685314685314685,0.6487957097846664,,,12,0.9547458108085504,False
MLX,0.1398601398601399,0.6646331617926677,,,12,0.9547458108085504,False
STAT5B,0.1398601398601399,0.6646331617926677,,,12,0.9547458108085504,False
STAT4,0.1245748826548378,0.6996845792102099,,,12,0.9547458108085504,False
ERG,0.11188811188811189,0.729194990751066,,,12,0.9547458108085504,False
STAT6,0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
NR1H2,0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
USF2,0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
ATF7,0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
FOXO4,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
GATA6,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
KLF2,0.0979020979020979,0.762121655996299,,,12,0.9547458108085504,False
ELK3,0.07692307692307693,0.8121826980280591,,,12,0.954813119010701,False
SP1,0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
KLF13,0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
IRF9,0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
KLF9,0.04895104895104895,0.8799185788786749,,,12,0.9834384116879307,False
CEBPB,0.034965034965034975,0.9140933424107598,,,12,0.9919069144675554,False
CREB1,0.034965034965034975,0.9140933424107598,,,12,0.9919069144675554,False
ZFP36L1,0.027972027972027972,0.9312343512018808,,,12,0.9919069144675554,False
SP4,0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
IRF4,-0.010751134472528774,0.9735462071621488,,,12,1.0,False
RXRA,-0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
YY2,-0.02097902097902098,0.9484022252365223,,,12,0.9919069144675554,False
FOXO3,-0.04195804195804196,0.8969858708195542,,,12,0.9919069144675554,False
IRF7,-0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
KLF3,-0.06293706293706294,0.8459309212287789,,,12,0.954813119010701,False
GATA5,-0.06656735199784074,0.8371459389976224,,,12,0.954813119010701,False
ETS1,-0.06993006993006995,0.8290236405313092,,,12,0.954813119010701,False
KLF6,-0.07692307692307693,0.8121826980280591,,,12,0.954813119010701,False
STAT1,-0.09090909090909093,0.7787253962454419,,,12,0.954813119010701,False
MXI1,-0.10489510489510491,0.7456094809807079,,,12,0.9547458108085504,False
SP3,-0.1188811188811189,0.712884219214772,,,12,0.9547458108085504,False
PPARG,-0.1328671328671329,0.6805975082860818,,,12,0.9547458108085504,False
CEBPG,-0.1398601398601399,0.6646331617926677,,,12,0.9547458108085504,False
GATA2,-0.15384615384615385,0.6330906812462618,,,12,0.9547458108085504,False
FOXO6,-0.16677617027676858,0.6044191985316112,,,12,0.9438875155151188,False
NR1H3,-0.18181818181818185,0.5717012385276553,,,12,0.9310563027450386,False
MYCL,-0.1871519268441976,0.5602730995760044,,,12,0.9310563027450386,False
SP2,-0.21678321678321683,0.49855598552418856,,,12,0.9166997153186692,False
GATA3,-0.2377622377622378,0.4568008526399232,,,12,0.9136017052798464,False
USF1,-0.2377622377622378,0.4568008526399232,,,12,0.9136017052798464,False
ATF1,-0.25874125874125875,0.41677476889913834,,,12,0.8964589368773919,False
KLF15,-0.2797202797202798,0.37856866966230307,,,12,0.8462123204216186,False
MAX,-0.2797202797202798,0.37856866966230307,,,12,0.8462123204216186,False
ATF6B,-0.30069930069930073,0.34225952894002465,,,12,0.8462123204216186,False
KLF14,-0.4803844614152615,0.11393741215192033,,,12,0.4810690735303303,False
IRF2,-0.49650349650349657,0.10060263183225483,,,12,0.44110384726450197,False
CEBPE,,,,,12,1.0,False
GATA1,,,,,12,1.0,False
GATA4,,,,,12,1.0,False
NR1H4,,,,,12,1.0,False
