Term,NES,pval,fdr,leading_edge
Unfolded Protein Response,2.9579801886025647,0.0,0.0,IFIT1;CCL2;TUBB2A;ZBTB17;EXOSC2;GEMIN4;RPS14;SRPRA;IMP3;EIF4A2;SEC11A;BANF1;EIF2AK3;PARN;EIF4A3;KHSRP;HSP90B1;KIF5B;DDX10;HSPA5;CKS1B;ATF3;MTHFD2;HERPUD1;XBP1;EIF4EBP1;DNAJA4;PDIA6;NOLC1;SPCS1;PDIA5;SHC1;BAG3;NHP2;PAIP1;YWHAZ;DNAJC3;DCTN1;SRPRB;KDELR3;EXOSC4;EXOSC10;NOP56;EIF4E;EXOSC5;CALR;CNOT4;DNAJB9;CEBPB;EEF2;LSM4;EXOSC1;EXOC2;DKC1;SSR1;TATDN2;YIF1A;HYOU1;CHAC1;HSPA9;SLC7A5;NPM1;SERP1;NOP14;EXOSC9;PREB;POP4;ATF6;FKBP14;CXXC1;SPCS3;RRP9;ARFGAP1;CEBPG;NABP1;SLC1A4;DDIT4;ALDH18A1;NFYB;SEC31A;SDAD1;FUS
TNF-alpha Signaling via NF-kB,2.8516061566052633,0.0,0.0,SOCS3;CCL2;BTG2;TUBB2A;DUSP5;PTPRE;EHD1;TNFAIP8;ABCA1;RELB;IRF1;LITAF;IER3;TNC;CCNL1;KLF2;BCL3;ETS2;NR4A3;CDKN1A;EIF1;IER2;GEM;NAMPT;MCL1;IL6ST;EGR2;SQSTM1;PTGER4;JUN;PTGS2;IFIH1;ATF3;RHOB;KLF6;PNRC1;FOSB;EGR3;PDE4B;BIRC3;KYNU;BTG1;MYC;MAFF;SLC2A3;GADD45B;PLPP3;PHLDA2;TNFAIP6;TGIF1;CSF1;F3;HES1;GFPT2;B4GALT5;PTX3;SMAD3;CCL5;BHLHE40;KLF4;LDLR;FOS;SGK1;DDX58;TSC22D1;NFKB2;SIK1;ZFP36;EGR1;IFIT2;NFIL3;BTG3;TNIP2;CEBPB;PHLDA1;CCND1;GCH1;NR4A1;RCAN1;CXCL11;PLAUR;LIF;SERPINB8;ZC3H12A;ICAM1;DUSP2;CXCL2;IL6;IL18;NR4A2;GADD45A;DUSP1;SPHK1;TRIB1;CLCF1;PLK2;FJX1;CCN1;NFKB1;ATP2B1;SOD2;MSC;CD44;JUNB;SERPINE1;NFKBIA;KDM6B;TLR2;CCL20;G0S2;PER1;NINJ1;IRS2;AREG;KLF10;KLF9;SLC16A6;DUSP4;PMEPA1;F2RL1;ID2;TRIP10;HBEGF;IL7R;PLAU;CCL4;MAP2K3;SDC4;REL;BMP2;PDLIM5;EDN1;LAMB3;IER5;RNF19B;TAP1;RELA
mTORC1 Signaling,2.6189754726116505,0.0,0.0,BTG2;ACTR2;CTH;EGLN3;BCAT1;PSMD13;YKT6;MTHFD2L;LDHA;PSMD14;PRDX1;PSMC6;PNO1;TES;PPIA;SEC11A;NUPR1;GTF2H1;PSMC4;PSMB5;HSPE1;NUFIP1;IFI30;CDKN1A;HSP90B1;NAMPT;GBE1;PDAP1;SDF2L1;SQLE;SQSTM1;HSPA5;PLOD2;NMT1;MTHFD2;XBP1;PFKL;SERPINH1;PPA1;TPI1;SLC2A3;HSPD1;HPRT1;IDI1;NFKBIB;SHMT2;PSME3;CCT6A;GAPDH;CTSC;MLLT11;ELOVL5;PHGDH;ATP5MC1;PSMC2;CANX;BHLHE40;CCNG1;HK2;SCD;LDLR;PSMA3;FGL2;CALR;RIT1;NFIL3;G6PD;PLK1;CACYBP;ENO1;INSIG1;PGM1;DHCR7;SSR1;NFYC;LTA4H;GPI;CD9;PSMG1;HSPA9;AK4;SLC7A5;SERP1;ITGB2;SLC9A3R1;TCEA1;GLRX;DHCR24;RRM2;PNP;TOMM40;PITPNB;ATP6V1D;SYTL2;ACTR3;ACACA;FADS1;CCNF;HMBS;DDX39A;HMGCR;ARPC5L;TUBG1;QDPR;FADS2;PIK3R3;PSMD12;RRP9;COPS5;SLC1A4;DDIT4;RPN1;ATP2A2;RDH11;UCHL5;UFM1;SLC7A11;SLA;DHFR;MAP2K3;SLC2A1;ETF1;USO1;EIF2S2;ME1;SLC1A5;GSK3B;AURKA;STIP1;PGK1;DDIT3;ERO1A;EEF1E1;ADIPOR2;GCLC;LGMN;PSPH;ELOVL6;M6PR;GLA;PDK1;SLC37A4;MCM2
Interferon Gamma Response,2.4902415348943325,0.0,0.0,IFI27;IFIT1;SOCS3;CCL2;HERC6;IL15;IFI44L;SP110;CASP7;NUP93;IFI44;DDX60;PELI1;CD74;RSAD2;IRF1;LY6E;PTPN1;SERPING1;ZNFX1;STAT2;SSPN;LGALS3BP;HIF1A;APOL6;TNFSF10;IFI30;PSME1;PNPT1;SRI;CDKN1A;UBE2L6;IL4R;NAMPT;UPP1;PTGS2;OAS2;C1S;OAS3;IFIH1;IFITM3;MTHFD2;PDE4B;ST3GAL5;ST8SIA4;BTG1;JAK2;TNFAIP6;VAMP5;FAS;IFI35;PLSCR1;VCAM1;SAMHD1;CCL5;PSMB8;BST2;LAP3;CFH;PSMB2;DDX58;PSMA3;FGL2;MX2;C1R;IRF7;IFIT2;IRF9;RNF213;GCH1;PSMB9;AUTS2;CXCL11;MT2A;GBP4;CMPK2;ISG20;NCOA3;IRF2;PIM1;ICAM1;PSME2;SAMD9L;IL6;ISG15;CXCL9;EPSTI1;STAT1;PSMA2;NFKB1;SOD2;RAPGEF6;ARL4A;TXNIP;CMKLR1;SOCS1;PNP;PFKP;HLA-DRB1;HLA-B;NFKBIA;BPGM;LATS2
Epithelial Mesenchymal Transition,2.29416896452164,0.0,0.00535183349851338,MGP;ADAM12;IGFBP3;PTHLH;NT5E;FZD8;TIMP3;FBLN2;FMOD;SPARC;IL15;CADM1;MATN2;ECM2;EMP3;GJA1;CDH6;ITGB1;COL11A1;CD59;SLIT3;PPIB;COMP;IGFBP4;VCAN;SFRP1;TNC;GPX7;NID2;ELN;COL1A2;BASP1;LOX;GEM;POSTN;LGALS1;JUN;PCOLCE2;NNMT;CRLF1;PLOD2;SGCB;PFN2;FBLN5;RHOB;SNAI2;SERPINH1;THBS2;PCOLCE;CDH11;EFEMP2;HTRA1;DST;TNFRSF11B;GADD45B;FAP;CXCL12;NTM;COL8A2;SCG2;CAPG;SNTB1;FAS;TGFB1;FN1;ITGA5;CCN2;MMP3;FBN2;LOXL1;VCAM1;FBLN1;PTX3;GAS1;CXCL8;ACTA2;GREM1;VIM;ECM1;GLIPR1;LAMC1;TGFBR3;BGN;PDGFRB;TAGLN;FUCA1;COL6A2;PLAUR;PMP22;TGFBI;COPA;IL6;GADD45A;TIMP1;OXTR;CCN1;CALU;SGCG;MFAP5;EDIL3;CD44;MEST;FSTL1;SFRP4;SERPINE1;MXRA5;MAGEE1;ENO2;THBS1;ABI3BP;WIPF1;SLC6A8;MYL9;MMP2;MMP14;COL4A2;AREG;COL5A2;ITGB5;ITGA2;LAMA3;ANPEP;PMEPA1;ID2;VEGFC;BDNF;IL32;P3H1;FERMT2;COL4A1;DAB2;COL5A1;TNFRSF12A;FGF2;COLGALT1;SDC4;WNT5A;SPP1;MSX1;COL5A3;THY1;COL12A1;DPYSL3;PDLIM4;TFPI2;PLOD1;LOXL2;CXCL1;COL3A1;DCN;SGCD
UV Response Up,2.26351014333619,0.0,0.008919722497522299,BTG2;PDLIM3;NXF1;NTRK3;CCND3;DDX21;RET;YKT6;PLCL1;EIF5;DNAJB1;IRF1;CREG1;ATP6V1F;PPP1R2;RAB27A;SIGMAR1;SELENOW;DNAJA1;PDAP1;IL6ST;SQSTM1;ATF3;RHOB;FOSB;GRPEL1;HMOX1;AMD1;BTG1;EPHX1;GAL;AP2S1;TMBIM6;POLG2;BAK1;ACAA1;EIF2S3;FOS;ALAS1;OLFM1;HLA-F;RASGRP1;CDKN1C;BTG3;BSG;GCH1;NR4A1;TACR3;CDKN2B;APOM;NUP58;CDO1;ICAM1;HNRNPU;PPT1;CXCL2;NAT1;IL6;STK25;PPIF;SOD2;POLR2H;SULT1A1;PSMC3;JUNB;CNP;ENO2;GRINA;CCNE1;HSPA13;NFKBIA;SPR;SLC6A8;MMP14;POLE3;KLHDC3;MAOA;CYB5R1;E2F5;GGH;CLCN2;STARD3;PRPF3;DGAT1;CHKA;CEBPG;FGF18;MGAT1;RPN1;RFC4;FEN1
Interferon Alpha Response,2.197076934468445,0.0,0.007645476426447685,IFI27;OAS1;HERC6;IL15;IFI44L;SP110;LPAR6;IFI44;DDX60;CD74;RSAD2;IRF1;LY6E;STAT2;LGALS3BP;IFI30;PARP9;PSME1;PNPT1;UBE2L6;IL4R;C1S;SAMD9;IFIH1;IFITM3;TRIM5;TMEM140;CSF1;IFI35;PLSCR1;CD47;PSMB8;BST2;LAP3;PSMA3;MVB12A;IRF7;IFIT2;IRF9;PSMB9;CXCL11;GBP4;CMPK2;ISG20;NCOA7;IRF2;PSME2;SAMD9L;ISG15;EPSTI1;GBP2
Oxidative Phosphorylation,1.8892443437764146,0.0,0.023414271555996038,SLC25A6;ATP6V1H;NDUFA2;CASP7;LDHA;MTRR;SUCLA2;LDHB;FXN;MGST3;COX7A2;MRPS22;CYB5A;PHB2;COX6C;GPX4;NDUFB6;COX8A;MDH1;ATP6V1F;ATP6V0E1;ATP5MG;COX6B1;ETFB;ATP5PO;MRPS11;TIMM9;COX6A1;UQCR11;MRPL11;NDUFA3;ACAA2;COX7A2L;SDHD;UQCR10;TIMM17A;CYCS;SLC25A5;ISCU;OAT;NDUFB4;PDHX;ATP5MF;ATP5F1D;ATP5F1E;ATP6V1G1;UQCRB;UQCRFS1;ACADVL;TIMM8B;POLR2F;GRPEL1;OGDH;ATP5PD;ECHS1;SURF1;ATP5F1A;COX5A;COX7B;SLC25A3;PRDX3;IDH3B;IDH3G;RHOT1;NDUFB7;VDAC2;NDUFA6;NDUFA4;MRPS15;NDUFA1;DLST;ATP5MC1;NDUFB3;ACAA1;ATP5PF;MDH2;UQCRQ;TOMM22;CYC1;ALAS1;ISCA1;COX5B;COX7C;PDK4;ATP6V0B;TOMM70;NDUFS7;NDUFS4;TIMM13;NDUFA9;MRPL34;NDUFB1;DECR1;MRPS30;ATP5PB;NDUFS2;GPI;HSD17B10;HSPA9;ATP5F1B;TCIRG1;ATP5ME;PHYH;OPA1;NDUFA5;ALDH6A1;NQO2;NDUFC1;SDHC;TIMM50;ATP5MC3;NDUFC2;UQCRH;NDUFS6;NDUFS3;NDUFB5;ATP6V1D;NDUFS8;MRPL35;PDP1;NDUFA8;HADHA;POR;SLC25A11;FDX1;NDUFB8;PDHB;NDUFB2;ACAT1;ECH1;COX17
Estrogen Response Late,1.8379995757198673,0.0,0.02081268582755203,EMP2;PDLIM3;ALDH3A2;FOXC1;CAV1;FRK;RET;CPE;UNC13B;ST14;COX6C;IGFBP4;ETFB;S100A9;OPN3;RAB31;IL6ST;PTGES;TNNC1;SNX10;TOB1;CKB;XBP1;EGR3;DYNLT3;IMPA2;CYP26B1;FAM102A;JAK2;CHST8;GAL;HPRT1;DCXR;CXCL12;CCN5;PRSS23;MYOF;SCNN1A;ELOVL5;SERPINA3;PERP;KLF4;FOS;BLVRB;SGK1;OLFM1;ASS1;ZFP36;DNAJC12;NCOR2;FGFR3;BTG3;CDH1;CCND1;LSR;CALCR;DHCR7;HSPB8;ISG20;PTGER3;CA12;SLC24A3;TPBG;DUSP2;CD9;PPIF;NXT1;SULT2B1;BCL2;SLC7A5;MDK;CD44;SLC9A3R1;MEST;FLNB;TFF3;KCNK5;PLAC1;BAG1;PLAAT3;MOCS2;NAB2;LLGL2;SLC16A1;UGDH;TOP2A;AREG;HOMER2;PTPN6;DNAJC1;CHPT1;SERPINA5;CACNA2D2;BATF;CXCL14;HSPA4L;ID2;NMU;PCP4;SLC1A4;ARL3;NBL1;CA2;TPSAB1;RBBP8;SLC26A2;PKP3;SEMA3B;SFN;TSTA3;STIL;TFPI2;RPS6KA2;CISH;AFF1;AMFR;GLA;MICB;PLK4;IDH2;NPY1R;FKBP5;PDCD4;FARP1;RAPGEFL1;WFS1;TST;FKBP4;KIF20A;XRCC3;GALE;OVOL2;LAMC2;HR;PAPSS2;SCARB1;ALDH3B1;CDC6
Protein Secretion,1.5688278207435498,0.0,0.09098116947472745,ATP6V1H;STX7;YKT6;BNIP3;ABCA1;GOLGA4;COPE;CLTA;GALC;SSPN;LMAN1;VPS4B;BET1;VAMP7;COPB1;GBF1;CD63;TMED10;TSG101;SOD1;COG2;TMED2;STX12;DST;RAB2A;AP2S1;CTSC;DOP1A;AP2M1;VAMP3;SGMS1;ARF1;AP2B1;ICA1;LAMP2;ANP32E;NAPG;GNAS;SEC22B;ATP1A1;RAB22A;DNM1L;ARFGAP3;PPT1;TMX1;SCAMP1;ARCN1;MAPK1;ERGIC3;ZW10;ARFIP1;SNX2;RER1;YIPF6;MON2
Myc Targets V2,1.5166798901990175,0.0,0.11676727633120101,WDR74;PA2G4;TCOF1;HSPE1;CBX3;PES1;FARSA;UTP20;GNL3;NOLC1;PHB;MYC;HSPD1;MYBBP1A;IMP4;NOP56;WDR43;HK2;LAS1L;EXOSC5;MRTO4;PLK1;TFB2M;AIMP2;RABEPK;DUSP2;DCTPP1;DDX18;NPM1;CDK4;NOP16;PPAN;NDUFAF4;NOC4L;GRWD1;RRP9;SRM;NIP7;RRP12;IPO4;PUS1;PPRC1
Apoptosis,1.4834482070536736,0.0,0.11818632309217048,BTG2;TIMP3;CTH;CAV1;CASP7;PPP3R1;HMGB2;TSPO;HGF;IRF1;GPX1;IER3;CCND2;GPX4;BNIP3L;TNFSF10;DNAJA1;CDKN1A;CTNNB1;MCL1;SQSTM1;JUN;SOD1;LGALS3;ATF3;RHOB;IFITM3;HSPB1;F2R;EGR3;FEZ1;HMOX1;BIRC3;IGFBP6;LMNA;GADD45B;TIMP2;SPTAN1;PAK1;VDAC2;DNAJC3;FAS;ANXA1;GSTM1;RARA;BTG3;CCND1;SLC20A1;GCH1;TGFBR3;BGN;PDGFRB;ISG20;IFNGR1;MGMT;DNM1L;PPT1;IL6;IL18;GADD45A;TIMP1;GSN;SOD2;BCL2L10;CD44;PMAIP1;TXNIP;PLAT;APP;ENO2;CLU;BCL10;CDKN1B;PSEN1;PTK2;PEA15;SATB1;MMP2;SMAD7;TOP2A
Xenobiotic Metabolism,1.4371374598903612,0.0,0.1420294274605474,IGF1;ABHD6;BCAT1;LPIN2;GART;CSAD;CYB5A;IL1R1;IGFBP4;NQO1;SERTAD1;ALDH9A1;TPST1;APOE;ETS2;AKR1C3;PGRMC1;HACL1;UPP1;AKR1C2;PTGES;CROT;NMT1;PTGDS;HMOX1;KYNU;EPHX1;MTHFD1;TDO2;HPRT1;DCXR;DHRS7;HSD11B1;SHMT2;FAH;SSR3;RBP4;TMBIM6;PGD;FAS;ELOVL5;ACP1;PTS;FBLN1;ADH5;BLVRB;ALAS1;PEMT;PDK4;ACSM1;ARG1;GCH1;HNF4A;AOX1;MT2A;PTGES3;ARG2;GSS;GSTO1;SMOX;GABARAPL1;SLC46A3;CDO1;ASL;AP4B1;ABCC3;DDAH2;ITIH4;SERPINE1;PROS1;MAN1A1;DHRS1;LONP1;CDA;GCNT2;NINJ1;ABCD2;SPINT2;COMT;UGDH;POR;MAOA;EPHA2;SLC35B1;ECH1;ADH1C;SAR1B;XDH;ID2;CES1;ACP2;PYCR1;ATP2A2;ESR1;F10;CA2;GSTM4;PDLIM5;SLC1A5;AHCY;CYP2E1;TYR;ARPP19;DHPS;TKFC;ACO2;PMM1
DNA Repair,1.4298026994907684,0.0,0.13188446835622258,UMPS;SDCBP;UPF3B;NME1;GTF2H1;POLR2E;GPX4;DAD1;ZNRD1;POLR1D;ARL6IP1;EIF1B;POLE4;IMPDH2;POLR2K;RALA;ERCC4;TSG101;GTF2H5;RBX1;POLR2I;CETN2;NCBP2;PDE4B;POLR2F;TMED2;ADRM1;TAF9;SURF1;POLA1;HPRT1;DGUOK;USP11;EDF1;GTF2A2;XPC;CANT1;NUDT21;VPS28;NME3;SMAD5;DCTN4;RPA3;NT5C;BOLA2;SUPT5H;NFX1;TAF13;AK3;DDB2;RAE1;RAD52;GTF2H3;CMPK2;POLR2J;RNMT;GTF2F1;GUK1;MPC2;ELOA;POLR3GL;NME4;TAF10;POLR2H;RPA2;RAD51;APRT;TK2;POLR2C;TAF12;POLD4;RFC2;MPG;ELL;TYMS;PNP;CDA;GSDME;SNAPC4
Reactive Oxygen Species Pathway,1.338210397997624,0.10526315789473684,0.17839444995044598,PRDX1;OXSR1;GPX4;NQO1;LAMTOR5;FTL;SOD1;MGST1;TXN;NDUFB4;PRDX2;NDUFA6;PRDX6;CDKN2D;PDLIM1;PRNP;G6PD;ATOX1;PRDX4;NDUFS2;STK25;GLRX2;SELENOS;SOD2;JUNB;GLRX;PFKP;IPCEF1;ABCC1
Angiogenesis,1.2387632342661383,0.21487603305785125,0.28598860257680875,S100A4;NRP1;CCND2;VCAN;POSTN;KCNJ8;LRPAP1;TIMP1;FSTL1;APP;PTK2;COL5A2;SERPINA5;SPP1;MSX1;COL3A1;JAG1;VAV2;PDGFA;TNFRSF21;VTN;ITGAV;THBD;JAG2;SLCO2A1;VEGFA;OLR1;FGFR1;PRG2;STC1
Inflammatory Response,1.2091476951042466,0.3333333333333333,0.2990730484463359,CCL2;RGS16;BTG2;IL15;NPFFR2;EMP3;PTPRE;OSMR;ABCA1;GPC3;SLC4A4;LPAR1;IRF1;KCNMB2;IL1R1;LY6E;TLR3;HIF1A;TNFSF10;SRI;CDKN1A;IL4R;NAMPT;PTGER4;KLF6;ACVR2A;MSR1;PDE4B;ADRM1;MYC;TNFSF15;TNFAIP6;MET;PDPN;GNAI3;CSF1;F3;ITGA5;CCL5;BST2;LDLR;ICAM4;CXCL8;RASGRP1;IRF7;GCH1;TACR3;CXCL11;PLAUR;LIF;ICAM1;TPBG;IL6;IL18;ATP2C1;TIMP1;SPHK1;CXCL9;NFKB1;ATP2B1;SELENOS;CD82;SERPINE1;SLC1A2;ADGRE1;CMKLR1;PTAFR;AXL;MARCO;NFKBIA;PSEN1;SGMS2;TLR1;TLR2;CCL20;HAS2;MMP14;SLC31A1;BEST1;CCR7;NMI;RHOG;RAF1;APLNR;P2RX4;HRH1;LAMP3;PTGIR;GPR132;PTGER2;IFITM1;HBEGF;ADORA2B;IL7R;ATP2A2;IFNAR1
TGF-beta Signaling,1.1937597336422439,0.24,0.30178394449950446,FKBP1A;RAB31;CTNNB1;SKIL;PPM1A;TGIF1;PPP1CA;TGFB1;SMAD3;ID1;NCOR2;CDKN1C;CDH1;SLC20A1;BMPR2;FNTA;WWTR1;SMURF2;SMURF1;JUNB;SERPINE1;THBS1;SMAD6;TJP1;LEFTY2;SMAD7;KLF10;HDAC1;PMEPA1;ID2;ID3;HIPK2;SPTBN1;LTBP2;BMP2;MAP3K7
IL-6/JAK/STAT3 Signaling,1.1613538438931363,0.15,0.33519378227531166,SOCS3;PDGFC;OSMR;HAX1;IRF1;IL1R1;PTPN1;LEPR;STAT2;IL4R;IL6ST;JUN;IL10RB;HMOX1;ACVRL1;PTPN11;LTBR;CSF1;IL13RA1;FAS;TGFB1;BAK1;IRF9;CXCL11;IFNGR1;PIM1;CBL;ITGA4;IL6;CD9;IL1R2;CXCL9;STAT1;CD44;SOCS1;TLR2;PLA2G2A;MYD88
